rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
47,2026-05-06,2881.TW,富邦金,core,midlong_core,92.8,0.65,4.74,5.82,5.82,24089561,23829733,1.01,88.8,89.84,91.96,-5.5,4.5,7,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.69,穩健,X,-8,-1,0,DOWN
48,2026-05-06,2464.TW,盟立,satellite,midlong_core,111.0,-1.77,4.23,28.92,68.69,18658180,18806767,0.99,89.56,77.22,69.89,-4.31,23.93,7,7,TREND,高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,2,3,1,7.81,劇烈,C,2,0,0,UP
49,2026-05-06,2308.TW,台達電,core,midlong_core,2210.0,2.08,4.0,9.68,45.87,14353798,11228968,1.28,1953.0,1552.08,1272.62,-0.45,13.16,7,4,TREND,偏強可追蹤,中段延續中,3,投機偏高,急拉追價型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,高檔無回檔",2,1,2,0,4.88,活潑,X,0,0,0,FLAT
50,2026-05-06,6669.TW,緯穎,theme,short_attack,4970.0,4.52,3.54,17.77,46.39,2461128,2354110,1.05,4231.75,3929.92,4096.46,0.0,17.45,7,5,TREND,偏強可追蹤,中段延續中,5,投機偏高,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",2,1,2,1,5.28,活潑,X,1,0,0,UP
51,2026-05-06,3035.TW,智原,satellite,midlong_core,181.5,2.54,2.83,0.83,29.64,18246806,13248486,1.38,166.65,160.45,165.15,-2.68,8.91,7,2,TREND,偏強可追蹤,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,高檔無回檔",1,2,1,0,6.08,活潑,B,1,0,0,UP
52,2026-05-06,2892.TW,第一金,core,midlong_core,28.8,1.41,1.77,0.0,0.7,46129128,25048112,1.84,28.61,28.86,28.83,-4.32,0.65,7,2,NONE,偏強可追蹤,還在觀察,2,正常,正常,爆量、高檔無回檔、走勢與訊號不匹配,"爆量,高檔無回檔,走勢與訊號不匹配",0,1,1,1,1.41,穩健,B,1,0,1,UP
53,2026-05-06,3679.TW,新至陞,satellite,quality_value,119.5,-0.42,0.42,0.42,1.7,57500,62426,0.92,120.47,118.29,116.9,-4.4,-0.81,7,1,BASE,偏強可追蹤,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.85,穩健,X,1,0,0,UP
54,2026-05-06,2886.TW,兆豐金,core,midlong_core,39.55,1.15,-1.49,0.25,0.38,16493684,25246097,0.65,39.57,39.43,39.87,-4.58,-0.05,7,1,BASE,偏強可追蹤,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.63,穩健,X,-12,-1,0,DOWN
55,2026-05-06,3324.TWO,雙鴻,theme,short_attack,1105.0,-5.56,-3.49,5.24,20.37,5888995,5622799,1.05,1079.8,1032.67,994.56,-9.05,2.33,7,0,TREND,偏強可追蹤,中段延續中,1,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.68,劇烈,X,0,0,0,FLAT
56,2026-05-06,2882.TW,國泰金,core,midlong_core,78.7,1.94,5.35,4.24,9.46,31155809,30383896,1.03,74.99,74.32,72.52,-1.25,4.94,6,1,TREND,偏強可追蹤,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,2.34,標準,B,-8,-1,0,DOWN
